X9.unique.bam	X10.unique.bam	X11.unique.bam	X12.unique.bam	X13.unique.bam	X14.unique.bam	X15.unique.bam	X16.unique.bam
1.tRNA111-IleGAT	0	0	0	83.129259725449	0	259.367841941091	196.424462995077	190.054345107599
1.tRNA225-SerGCT	0	0	99.6421782662349	83.129259725449	0	172.911894627394	0	0
1.tRNA485-LysTTT	624.236030200595	549.919878548071	597.853069597409	748.163337529041	869.484925707408	518.735683882183	883.910083477847	1235.3532431994
1.tRNA672-ProAGG	624.236030200595	916.533130913451	797.137426129879	1330.06815560718	521.690955424445	778.103525823274	294.636694492616	665.190207876598
1.tRNA698-LeuCAG	14825.6057172641	22271.7550811969	22519.1322881691	14381.3619325027	23128.2990238171	23688.929563953	36338.5256540893	24421.9833463265
1.tRNA699-GlyGCC	2653.00312835253	2199.67951419228	1793.55920879223	1662.58519450898	2086.76382169778	1729.11894627394	1866.03239845323	2090.59779618359
1.tRNA701-LeuCAG	2184.82610570208	2657.94607964901	5480.31980464292	2743.26557093982	4434.37312110778	2420.76652478352	5205.24826936954	3230.92386682919
1.tRNA702-GlyGCC	0	183.30662618269	0	166.258519450898	0	0	0	95.0271725537997
1.tRNA703-LeuCAG	1872.70809060179	2657.94607964901	5281.03544811045	3158.91186956706	4260.4761359663	3198.87005060679	5598.0971953597	3706.05972959819
1.tRNA704-GlyGCC	0	91.6533130913451	0	0	86.9484925707408	86.4559473136971	0	190.054345107599
1.tRNA705-LeuCAG	2106.79660192701	2016.37288800959	5878.88851770786	2078.23149313622	4173.52764339556	3285.32599792049	4910.61157487693	2945.84234916779
1.tRNA707-AspGTC	936.354045300893	1374.79969637018	697.495247863644	1911.97297368533	1130.33040341963	1210.38326239176	982.122314975385	1330.3804157532
1.tRNA708-GlyTCC	2496.94412080238	2199.67951419228	2590.69663492211	2493.87779176347	2260.66080683926	2334.31057746982	3241.00363941877	3040.86952172159
1.tRNA709-GluCTC	546.206526425521	274.959939274035	498.210891331174	581.904818078143	434.742462853704	0	982.122314975385	0
1.tRNA710-ValCAC	3355.2686623282	2382.98614037497	2291.7701001234	2078.23149313622	1825.91834398556	1902.03084090134	1866.03239845323	1710.48910596839
1.tRNA712-IleGAT	0	183.30662618269	99.6421782662349	83.129259725449	0	86.4559473136971	0	0
1.tRNA737-SeCTCA	0	366.61325236538	0	0	0	86.4559473136971	0	95.0271725537997
1.tRNA1001-LeuCAG	546.206526425521	1099.83975709614	1793.55920879223	1246.93889588173	1912.8668365563	1383.29515701915	2258.88132444339	1995.57062362979
1.tRNA1002-AspGTC	936.354045300893	549.919878548071	199.28435653247	249.387779176347	608.639447995186	518.735683882183	687.48562048277	380.108690215199
1.tRNA1003-GlyTCC	2340.88511325223	1374.79969637018	2092.48574359093	748.163337529041	1304.22738856111	778.103525823274	491.061157487693	855.244552984197
1.tRNA1004-GluCTC	1404.53106795134	549.919878548071	797.137426129879	748.163337529041	956.433418278149	518.735683882183	982.122314975385	285.081517661399
1.tRNA1005-AspGTC	1014.38354907597	458.266565456726	298.926534798705	332.517038901796	347.793970282963	605.19163119588	687.48562048277	665.190207876598
1.tRNA1006-GlyTCC	2028.76709815193	1374.79969637018	1594.27485225976	831.29259725449	1478.12437370259	605.19163119588	1669.60793545815	1045.2988980918
1.tRNA1007-GluCTC	1482.56057172641	1283.14638327883	996.421782662349	249.387779176347	869.484925707408	1037.47136776437	883.910083477847	380.108690215199
1.tRNA1008-AspGTC	858.324541525818	1008.1864440048	697.495247863644	166.258519450898	521.690955424445	518.735683882183	785.697851980308	380.108690215199
1.tRNA1009-GlyTCC	2106.79660192701	916.533130913451	1594.27485225976	914.421856979939	1912.8668365563	1210.38326239176	1276.759009468	665.190207876598
1.tRNA1010-GluCTC	1326.50156417626	733.226504730761	996.421782662349	748.163337529041	1043.38191084889	691.647578509577	1080.33454647292	190.054345107599
1.tRNA1012-GlyTCC	2262.85560947716	2108.02620110094	1992.8435653247	4073.333726547	3304.04271768815	2939.5022086657	2749.94248193108	4371.24993747479
1.tRNA1013-AspGTC	1248.47206040119	824.879817822106	1793.55920879223	1496.32667505808	956.433418278149	1988.48678821503	785.697851980308	855.244552984197
1.tRNA1014-AsnGTT	156.059007550149	1099.83975709614	199.28435653247	748.163337529041	521.690955424445	951.015420450668	491.061157487693	1045.2988980918
1.tRNA1030-ProCGG	468.177022650446	183.30662618269	298.926534798705	415.646298627245	260.845477712223	605.19163119588	491.061157487693	475.135862768998
1.tRNA1192-LysTTT	78.0295037750744	183.30662618269	298.926534798705	665.034077803592	956.433418278149	864.559473136971	196.424462995077	760.217380430397
1.tRNA1400-GlyGCC	312.118015100298	366.61325236538	199.28435653247	831.29259725449	434.742462853704	778.103525823274	294.636694492616	285.081517661399
1.tRNA1491-AsnGTT	0	183.30662618269	0	83.129259725449	0	86.4559473136971	0	0
1.tRNA1555-GluTTC	2418.91461702731	1558.10632255287	1992.8435653247	1579.45593478353	1825.91834398556	2074.94273552873	2062.45686144831	1425.407588307
1.tRNA1612-Undet???	0	366.61325236538	99.6421782662349	166.258519450898	0	172.911894627394	0	190.054345107599
10.tRNA90-GluCTC	9207.48144545878	13839.6502767931	6974.95247863644	6151.56521968322	8520.9522719326	7521.66741629165	8544.46414028585	6746.92925131978
10.tRNA390-AsnGTT	1092.41305285104	1283.14638327883	996.421782662349	1330.06815560718	869.484925707408	1556.20705164655	687.48562048277	1235.3532431994
10.tRNA698-SerCGA	3355.2686623282	1924.71957491825	2092.48574359093	2826.39483066526	2260.66080683926	2853.046261352	3142.79140792123	3516.00538449059
10.tRNA861-AspGTC	3745.41618120357	7882.18492585568	7572.80554823385	8229.79671281945	5303.85804681519	7435.21146897795	6678.43174183262	5796.65752578178
10.tRNA866-AspGTC	936.354045300893	916.533130913451	797.137426129879	914.421856979939	695.587940565927	691.647578509577	785.697851980308	1140.3260706456
10.tRNA867-TrpCCA	468.177022650446	0	498.210891331174	83.129259725449	86.9484925707408	86.4559473136971	98.2122314975385	190.054345107599
10.tRNA971-PheGAA	78.0295037750744	274.959939274035	99.6421782662349	249.387779176347	347.793970282963	259.367841941091	98.2122314975385	380.108690215199
10.tRNA976-ArgGCG	78.0295037750744	824.879817822106	99.6421782662349	831.29259725449	260.845477712223	518.735683882183	294.636694492616	285.081517661399
10.tRNA1105-SerTGA	2809.06213590268	1833.0662618269	3387.83406105199	1828.84371395988	3217.09422511741	2334.31057746982	2848.15471342862	1805.51627852219
10.tRNA1292-TrpCCA	78.0295037750744	0	0	83.129259725449	0	0	0	95.0271725537997
10.tRNA1326-LeuTAA	3745.41618120357	4582.66565456725	3886.04495238316	2660.13631121437	3390.99121025889	3717.60573448898	5990.94612134985	4466.27711002859
11.tRNA69-AspGTC	702.26553397567	549.919878548071	398.568713064939	332.517038901796	347.793970282963	518.735683882183	491.061157487693	475.135862768998
11.tRNA87-SerGCT	0	91.6533130913451	0	83.129259725449	0	0	0	95.0271725537997
11.tRNA204-ValCAC	1794.67858682671	1283.14638327883	1594.27485225976	1579.45593478353	1304.22738856111	1469.75110433285	1473.18347246308	2090.59779618359
11.tRNA205-GlyACC	1794.67858682671	3849.43914983649	896.779604396114	4239.5922459979	1391.17588113185	4755.07710225334	2357.09355594092	3230.92386682919
11.tRNA206-ThrTGT	1404.53106795134	1374.79969637018	1693.91703052599	1828.84371395988	956.433418278149	2507.22247209722	2258.88132444339	1805.51627852219
11.tRNA207-ProTGG	3589.35717365342	2932.90601892304	4683.18237851304	3158.91186956706	3825.7336731126	1988.48678821503	3241.00363941877	2470.70648639879
11.tRNA208-ValAAC	858.324541525818	1008.1864440048	1594.27485225976	997.551116705388	1304.22738856111	1123.92731507806	1473.18347246308	1995.57062362979
11.tRNA328-Undet???	0	0	0	83.129259725449	0	86.4559473136971	0	95.0271725537997
11.tRNA393-IleAAT	1170.44255662612	3024.55933201439	1096.06396092858	2743.26557093982	1652.02135884408	1815.57489358764	1767.82016695569	1995.57062362979
11.tRNA394-SerAGA	2262.85560947716	641.573191639416	2491.05445665587	1745.71445423443	1999.81532912704	1469.75110433285	2357.09355594092	1995.57062362979
11.tRNA395-ThrAGT	1482.56057172641	1833.0662618269	199.28435653247	2161.36075286167	1130.33040341963	1902.03084090134	1571.39570396062	1425.407588307
11.tRNA396-ProCGG	4057.53419630387	3482.82589747111	5779.24633944162	3907.0752070961	4347.42462853704	3631.14978717528	4714.18711188185	3516.00538449059
11.tRNA397-AspGTC	624.236030200595	641.573191639416	199.28435653247	0	695.587940565927	605.19163119588	392.848925990154	855.244552984197
11.tRNA398-TrpCCA	780.295037750744	366.61325236538	1893.20138705846	498.775558352694	521.690955424445	345.823789254788	589.273388985231	380.108690215199
